,scanID,segmethod,hemisphere,nuclei,AVGDIST,manufacturerCode,model,fieldStrength
93,2,t1thomas,right,9,0.963807,3,Avanto,1.5
94,2,t1thomas,left,10,2.094478,3,Avanto,1.5
95,2,t1thomas,right,10,2.794083,3,Avanto,1.5
96,2,t1thomas,left,11,1.009061,3,Avanto,1.5
97,2,t1thomas,right,11,1.010485,3,Avanto,1.5
98,2,t1thomas,left,12,0.863758,3,Avanto,1.5
99,2,t1thomas,right,12,0.766641,3,Avanto,1.5
100,2,hipsthomas,left,2,0.778024,3,Avanto,1.5
101,2,hipsthomas,right,2,0.715466,3,Avanto,1.5
102,2,hipsthomas,left,4,0.79048,3,Avanto,1.5
103,2,hipsthomas,right,4,0.402627,3,Avanto,1.5
104,2,hipsthomas,left,5,0.998987,3,Avanto,1.5
105,2,hipsthomas,right,5,0.948382,3,Avanto,1.5
106,2,hipsthomas,left,6,0.397819,3,Avanto,1.5
107,2,hipsthomas,right,6,0.468428,3,Avanto,1.5
108,2,hipsthomas,left,7,0.543157,3,Avanto,1.5
109,2,hipsthomas,right,7,0.461013,3,Avanto,1.5
110,2,hipsthomas,left,8,0.583516,3,Avanto,1.5
111,2,hipsthomas,right,8,0.742918,3,Avanto,1.5
112,2,hipsthomas,left,9,0.434149,3,Avanto,1.5
113,2,hipsthomas,right,9,1.033241,3,Avanto,1.5
114,2,hipsthomas,left,10,2.056116,3,Avanto,1.5
115,2,hipsthomas,right,10,2.607695,3,Avanto,1.5
116,2,hipsthomas,left,11,0.572202,3,Avanto,1.5
117,2,hipsthomas,right,11,0.669883,3,Avanto,1.5
118,2,hipsthomas,left,12,0.618072,3,Avanto,1.5
119,2,hipsthomas,right,12,0.514721,3,Avanto,1.5
120,3,t1thomas,left,2,0.680265,2,Achieva,1.5
121,3,t1thomas,right,2,0.324726,2,Achieva,1.5
122,3,t1thomas,left,4,0.499945,2,Achieva,1.5
123,3,t1thomas,right,4,0.31294,2,Achieva,1.5
124,3,t1thomas,left,5,0.947527,2,Achieva,1.5
125,3,t1thomas,right,5,0.798931,2,Achieva,1.5
126,3,t1thomas,left,6,0.541362,2,Achieva,1.5
127,3,t1thomas,right,6,0.443406,2,Achieva,1.5
128,3,t1thomas,left,7,0.894328,2,Achieva,1.5
129,3,t1thomas,right,7,0.713719,2,Achieva,1.5
